ROM file,Host file,Iby file,Package,In/Out,Who,Why
System\Data\buildinfo.txt,/epoc32/data/buildinfo.txt,OBEYFILE.iby,(unknown),,,
feeds_view_template.html,/epoc32/data/c/feeds_view_template.html,core/app/BrowserUi.iby,app/webuis,,,
private\101f5d36\sipsdp.dic,/epoc32/data/c/private/101f5d36/sipsdp.dic,sipsw.iby,mw/ipappprotocols,,,
private\101F7989\esock\ip.probe.esk,/epoc32/data/c/private/101f7989/esock/ip.probe.esk,core/tools/ConnTest.iby,app/conntools,,,
System\Data\Wsini.ini,/epoc32/data/wsini.ini,core/mw/wsini.iby,os/deviceplatformrelease,,,
data\sounds\digital\alarm.aac,/epoc32/data/z/data/sounds/digital/alarm.aac,core/app/AlmAlert.iby,app/organizer,,,
data\sounds\digital\clock.aac,/epoc32/data/z/data/sounds/digital/clock.aac,core/app/AlmAlert.iby,app/organizer,,,
private\0AB7E57C\backup_registration.xml,/epoc32/data/z/private/0ab7e57c/backup_registration.xml,ABTester.iby,mw/remoteconn,,,
private\0AB7E57D\backup_registration.xml,/epoc32/data/z/private/0ab7e57d/backup_registration.xml,ABTester.iby,mw/remoteconn,,,
private\0AB7E57E\backup_registration.xml,/epoc32/data/z/private/0ab7e57e/backup_registration.xml,ABTester.iby,mw/remoteconn,,,
private\0AB7E58A\backup_registration.xml,/epoc32/data/z/private/0ab7e58a/backup_registration.xml,ABTester.iby,mw/remoteconn,,,
private\0AB7E58B\backup_registration.xml,/epoc32/data/z/private/0ab7e58b/backup_registration.xml,ABTester.iby,mw/remoteconn,,,
private\0AB7E58C\backup_registration.xml,/epoc32/data/z/private/0ab7e58c/backup_registration.xml,ABTester.iby,mw/remoteconn,,,
private\0FA00001\backup_registration.xml,/epoc32/data/z/private/0fa00001/backup_registration.xml,ABTester.iby,mw/remoteconn,,,
PRIVATE\10000850\backup_registration.xml,/epoc32/data/z/private/10000850/backup_registration.xml,core/mw/PhoneServer.iby,mw/phonesrv,,,
private\10000882\resolver.ini,/epoc32/data/z/private/10000882/resolver.ini,dnd.iby,os/networkingsrv,,,
Private\100012a5\DBS_10205030_accpolicydb.db,/epoc32/data/z/private/100012a5/dbs_10205030_accpolicydb.db,core/os/AccRefPolicy.iby,adaptation/stubs,,,
Private\100012a5\policy\100069cc.spd,/epoc32/data/z/private/100012a5/policy/100069cc.spd,bluetooth.iby,os/bt,,,
PRIVATE\100012a5\policy\101F84D6.spd,/epoc32/data/z/private/100012a5/policy/101f84d6.spd,core/mw/provisioning.iby,mw/remotemgmt,,,
private\100012a5\policy\101F8878.spd,/epoc32/data/z/private/100012a5/policy/101f8878.spd,core/app/npdlib.iby,app/organizer,,,
private\100012a5\policy\101FD685.SPD,/epoc32/data/z/private/100012a5/policy/101fd685.spd,core/mw/FavouritesEngine.iby,mw/web,,,
private\100012a5\policy\101fe978.spd,/epoc32/data/z/private/100012a5/policy/101fe978.spd,core/mw/LocationLandmarks.iby,mw/locationsrv,,,
private\100012a5\policy\10201AFE.spd,/epoc32/data/z/private/100012a5/policy/10201afe.spd,core/app/srsf.iby,app/speechsrv,,,
private\100012a5\policy\10201AFF.spd,/epoc32/data/z/private/100012a5/policy/10201aff.spd,core/app/srsf.iby,app/speechsrv,,,
PRIVATE\100012a5\policy\10202869.SPD,/epoc32/data/z/private/100012a5/policy/10202869.spd,core/app/rcse2.iby,app/iptelephony,,,
private\100012A5\policy\10205030.spd,/epoc32/data/z/private/100012a5/policy/10205030.spd,core/os/AccServer.iby,os/devicesrv,,,
private\100012a5\policy\10206A8B.SPD,/epoc32/data/z/private/100012a5/policy/10206a8b.spd,core/mw/timezoneserver.iby,mw/appsupport,,,
PRIVATE\100012a5\policy\10207216.spd,/epoc32/data/z/private/100012a5/policy/10207216.spd,core/mw/AppInstUI.iby,mw/appinstall,,,
private\100012A5\policy\102072e9.spd,/epoc32/data/z/private/100012a5/policy/102072e9.spd,core/mw/eapol.iby,mw/accesssec,,,
PRIVATE\100012a5\policy\1020781C.spd,/epoc32/data/z/private/100012a5/policy/1020781c.spd,core/app/appmgmt.iby,app/devicecontrol,,,
